Geography Type,Geography Name,Year,Population,Households,Persons Per Household (PPH)
County,Carlton,2017,35655.00,13703.00,2.46
County,Carver,2017,102858.00,37097.00,2.75
County,Cass,2017,29327.00,12415.00,2.34
County,Chippewa,2017,12045.00,5156.00,2.29
County,Chisago,2017,55321.00,20240.00,2.65
County,Clay,2017,63789.00,24779.00,2.45
County,Clearwater,2017,8875.00,3627.00,2.42
County,Cook,2017,5388.00,2638.00,2.02
County,Cottonwood,2017,11320.00,4807.00,2.3
County,Crow Wing,2017,64517.00,27096.00,2.35
County,Dakota,2017,422580.00,162422.00,2.59
County,Dodge,2017,20762.00,7770.00,2.65
County,Douglas,2017,37654.00,16275.00,2.28
County,Faribault,2017,13671.00,6132.00,2.19
County,Fillmore,2017,20979.00,8628.00,2.39
County,Freeborn,2017,30550.00,13121.00,2.28
County,Goodhue,2017,46562.00,19205.00,2.38
County,Grant,2017,5904.00,2614.00,2.23
County,Hennepin,2017,1249512.00,513638.00,2.38
County,Houston,2017,18761.00,8002.00,2.31
County,Hubbard,2017,21034.00,8977.00,2.32
County,Isanti,2017,39553.00,14710.00,2.66
County,Itasca,2017,45346.00,19288.00,2.3
County,Jackson,2017,9951.00,4394.00,2.24
County,Kanabec,2017,16010.00,6379.00,2.47
County,Kandiyohi,2017,42768.00,17014.00,2.45
County,Kittson,2017,4262.00,1912.00,2.17
County,Koochiching,2017,12640.00,5820.00,2.13
County,Lac qui Parle,2017,6687.00,3016.00,2.17
County,Lake,2017,10531.00,4814.00,2.14
County,Lake of the Woods,2017,3802.00,1723.00,2.17
County,Le Sueur,2017,27881.00,10927.00,2.53
County,Lincoln,2017,5709.00,2525.00,2.21
County,Lyon,2017,25823.00,10341.00,2.4
County,McLeod,2017,35884.00,14675.00,2.41
County,Mahnomen,2017,5572.00,2024.00,2.71
County,Marshall,2017,9351.00,3962.00,2.34
County,Martin,2017,19865.00,8869.00,2.2
County,Meeker,2017,23155.00,9239.00,2.47
County,Mille Lacs,2017,25878.00,10244.00,2.48
County,Morrison,2017,33074.00,13238.00,2.46
County,Mower,2017,39602.00,15890.00,2.45
County,Murray,2017,8344.00,3655.00,2.24
County,Nicollet,2017,33892.00,12860.00,2.41
County,Nobles,2017,21963.00,8088.00,2.67
County,Norman,2017,6601.00,2775.00,2.33
County,Olmsted,2017,155849.00,62295.00,2.46
County,Otter Tail,2017,58329.00,24668.00,2.32
County,Pennington,2017,14301.00,6096.00,2.29
County,Pine,2017,29192.00,11412.00,2.42
County,Pipestone,2017,9127.00,3982.00,2.24
County,Polk,2017,31720.00,12886.00,2.36
County,Pope,2017,10950.00,4813.00,2.24
County,Ramsey,2017,546317.00,214112.00,2.47
County,Red Lake,2017,4007.00,1726.00,2.31
County,Redwood,2017,15278.00,6428.00,2.32
County,Renville,2017,14689.00,6281.00,2.28
County,Rice,2017,65960.00,23197.00,2.53
County,Rock,2017,9491.00,3911.00,2.36
County,Roseau,2017,15484.00,6325.00,2.42
County,St. Louis,2017,199922.00,86191.00,2.22
County,Scott,2017,144717.00,49185.00,2.91
County,Sherburne,2017,94748.00,32132.00,2.88
County,Sibley,2017,14869.00,5947.00,2.46
County,Stearns,2017,157660.00,59202.00,2.54
County,Steele,2017,36828.00,14489.00,2.5
County,Stevens,2017,9748.00,3726.00,2.35
County,Swift,2017,9423.00,4168.00,2.22
County,Todd,2017,24513.00,9809.00,2.46
County,Traverse,2017,3333.00,1484.00,2.18
County,Wabasha,2017,21393.00,8899.00,2.38
County,Wadena,2017,13731.00,5745.00,2.3
County,Waseca,2017,18793.00,7322.00,2.43
County,Washington,2017,256905.00,94995.00,2.67
County,Watonwan,2017,10839.00,4477.00,2.39
County,Wilkin,2017,6343.00,2697.00,2.29
County,Winona,2017,50769.00,19863.00,2.35
County,Wright,2017,134365.00,47767.00,2.79
County,Yellow Medicine,2017,9881.00,4161.00,2.3
EDR,01 (Northwest),2017,85726.00,35682.00,2.34
EDR,02 (Headwaters),2017,85868.00,34263.00,2.43
EDR,03 (Arrowhead),2017,325303.00,139751.00,2.24
EDR,04 (West Central),2017,230153.00,95153.00,2.35
EDR,05 (North Central),2017,165162.00,68303.00,2.38
EDR,06E (Southwest Central),2017,116496.00,47209.00,2.42
EDR,06W (Upper MN Valley),2017,43065.00,18741.00,2.24
EDR,07E (East Central),2017,165954.00,62985.00,2.56
EDR,07W (Central),2017,426901.00,155113.00,2.67
EDR,08 (Southwest),2017,117006.00,48131.00,2.37
EDR,09 (South Central),2017,232275.00,93870.00,2.36
EDR,10 (Southeast),2017,508015.00,201359.00,2.44
EDR,11 (7 County Twin Cities),2017,3075563.00,1200840.00,2.51
State,Minnesota,2016,5528630.00,2185172.00,2.47
County,Aitkin,2016,15610.00,7178.00,2.14
County,Anoka,2016,348652.00,128135.00,2.69
County,Becker,2016,33766.00,13928.00,2.39
County,Beltrami,2016,46069.00,17592.00,2.5
County,Benton,2016,40000.00,15842.00,2.46
County,Big Stone,2016,5052.00,2239.00,2.2
County,Blue Earth,2016,67087.00,26236.00,2.4
County,Brown,2016,25333.00,10858.00,2.23
County,Carlton,2016,35744.00,13709.00,2.46
County,Carver,2016,100621.00,36418.00,2.73
County,Cass,2016,28895.00,12206.00,2.35
County,Chippewa,2016,12122.00,5167.00,2.3
County,Chisago,2016,54766.00,20041.00,2.65
County,Clay,2016,62886.00,24325.00,2.46
County,Clearwater,2016,8824.00,3600.00,2.42
County,Cook,2016,5264.00,2572.00,2.03
County,Cottonwood,2016,11465.00,4833.00,2.32
County,Crow Wing,2016,64000.00,26877.00,2.35
County,Dakota,2016,418432.00,160890.00,2.58
County,Dodge,2016,20506.00,7674.00,2.65
County,Douglas,2016,37467.00,16141.00,2.29
County,Faribault,2016,13780.00,6137.00,2.21
County,Fillmore,2016,20885.00,8583.00,2.39
County,Freeborn,2016,30576.00,13109.00,2.28
County,Goodhue,2016,46717.00,19119.00,2.39
County,Grant,2016,5886.00,2598.00,2.24
County,Hennepin,2016,1237604.00,511519.00,2.37
County,Houston,2016,18834.00,7984.00,2.32
County,Hubbard,2016,20730.00,8847.00,2.32
County,Isanti,2016,39009.00,14500.00,2.66
County,Itasca,2016,45672.00,19304.00,2.31
County,Jackson,2016,9978.00,4396.00,2.24
County,Kanabec,2016,15841.00,6330.00,2.46
County,Kandiyohi,2016,42481.00,16909.00,2.45
County,Kittson,2016,4339.00,1917.00,2.21
County,Koochiching,2016,12753.00,5826.00,2.14
County,Lac qui Parle,2016,6741.00,3021.00,2.18
