,index,COUNTY,EMISSIONS
0,0,ANOKA,6898.924167546
1,1,CARVER,1969.1426273521306
2,2,DAKOTA,16509.882878039738
3,3,HENNEPIN,26016.136503445996
4,4,RAMSEY,10796.446714051803
5,5,SCOTT,3502.6667993687565
6,6,WASHINGTON,7082.007676064264
